City,Lat,Lon,Temp,Humidity,Cloudiness,Windspeed
Mahon,39.89,4.27,64.4,93,0,3.36
Newton,42.34,-71.21,59.36,58,1,6.49
Husavik,66.04,-17.34,44.6,45,75,16.11
Half Moon Bay,37.46,-122.43,52.79,71,90,14.99
Privolzhye,52.86,48.6,37.47,80,93,8.5
Makakilo City,21.35,-158.09,86.16,55,40,6.93
Arcata,40.87,-124.08,51.17,71,20,16.11
Haines Junction,60.75,-137.51,-2.2,77,100,2.24
Souillac,-20.52,57.52,73.4,83,75,10.29
Novopokrovka,49.84,36.55,42.4,100,90,6.71
Nouadhibou,20.93,-17.03,71.6,68,100,14.99
Eureka,40.8,-124.16,51.01,79,11,5.01
Saint-Joseph,-21.37,55.62,64.74,78,75,3.36
Falmouth,50.15,-5.07,56.37,93,100,10.29
Maceió,-9.67,-35.74,77.0,88,40,9.17
Inírida,3.87,-67.92,75.9,95,100,2.64
Mossamedes,-15.2,12.15,69.03,70,100,9.1
Huadian,42.96,126.75,31.26,80,0,17.11
Grand Gaube,-20.01,57.66,71.01,80,9,5.99
Diffa,13.32,12.61,71.6,37,0,10.13
Båtsfjord,70.63,29.72,37.71,78,82,30.47
Key West,24.56,-81.78,74.41,94,90,10.29
Tegul'det,57.31,88.17,36.43,83,68,9.15
Jamame,0.07,42.75,77.68,85,100,4.54
Balkhash,46.84,74.98,45.86,55,100,13.33
Lufilufi,-13.87,-171.6,78.4,94,75,3.36
Vila Velha,-20.33,-40.29,76.46,83,90,2.24
Portree,57.41,-6.19,41.0,81,100,3.83
Katsuura,35.13,140.3,67.46,72,75,4.7
Esim,4.87,-2.24,78.35,88,100,7.56
Huejuquilla el Alto,22.6,-103.87,59.07,38,2,3.02
Iskateley,67.68,53.15,31.08,99,99,4.16
Antofagasta,-23.65,-70.4,62.6,72,90,10.29
Sept-Îles,50.2,-66.38,27.14,63,6,12.75
Shakawe,-18.37,21.85,79.43,40,67,2.77
Hay River,60.82,-115.8,10.4,78,93,3.36
Yuba City,39.14,-121.62,58.68,47,40,5.82
Kandrian,-6.22,149.55,84.96,70,89,5.37
Mnogovershinnyy,53.94,139.92,17.6,95,100,5.68
Necochea,-38.55,-58.74,55.99,88,0,5.01
Arinos,-15.92,-46.11,72.79,85,100,0.81
Payyanur,12.1,75.2,78.8,88,20,5.82
Denizli Province,37.84,29.07,46.4,61,0,16.11
Yarmouth,41.71,-70.23,57.9,76,1,3.36
Yuanli,24.44,120.65,70.12,88,90,20.8
Kozhva,65.11,57.05,32.0,99,100,4.85
Saint-François,46.42,3.91,58.69,67,0,11.41
Kysyl-Syr,63.9,122.76,-8.68,90,91,4.9
Grand-Santi,4.25,-54.38,74.93,92,25,4.52
Kuching,1.55,110.33,78.42,88,20,2.24
Ayan,56.45,138.17,11.19,86,99,18.32
College,64.86,-147.8,23.07,85,75,4.7
Suna,57.83,50.06,35.28,87,100,13.47
Albert Lea,43.65,-93.37,63.5,67,1,16.11
Longview,32.5,-94.74,68.74,68,1,4.7
Ayorou,14.73,0.92,79.54,16,0,10.33
Sapozhok,53.94,40.68,37.99,90,66,4.0
Codó,-4.46,-43.89,78.69,74,18,2.82
Churapcha,62.0,132.43,-9.49,90,99,5.48
Alta Floresta,-9.88,-56.09,75.51,77,65,3.0
Gravdal,68.12,13.5,39.88,72,96,16.22
Departamento de Maldonado,-34.67,-54.92,62.29,88,0,5.82
Ambikāpur,23.12,83.2,54.46,65,0,2.15
Gwadar,25.12,62.33,71.91,67,0,4.65
Whitehorse,60.72,-135.05,6.8,84,75,10.29
Shkotovo,43.33,132.36,39.2,32,97,13.42
Hambantota,6.12,81.12,75.2,100,20,2.24
Udachny,66.42,112.4,-0.4,84,0,6.71
Dundalk,39.25,-76.52,57.63,93,1,2.68
